spl_id,Main ingredient,Ingredients
0011c61b-e3ce-d909-e063-6394a90a6ac2,LIDOCAINE,LIDOCAINE
001926ff-b22b-406c-aa75-a09f000a176d,SALICYLIC ACID,SALICYLIC ACID
0019528c-2f66-ef52-e063-6394a90a37bb,DEXBROMPHENIRAMINE MALEATE,"DEXBROMPHENIRAMINE MALEATE, DEXTROMETHORPHAN HYDROBROMIDE, PHENYLEPHRINE HYDROCHLORIDE"
0024163a-7904-053e-e063-6394a90a75df,TITANIUM DIOXIDE,TITANIUM DIOXIDE
0024658a-0b43-790f-e063-6294a90aefe8,ALUMINUM SESQUICHLOROHYDRATE,ALUMINUM SESQUICHLOROHYDRATE
00246f6f-a987-e2c3-e063-6394a90aa27d,TITANIUM DIOXIDE,TITANIUM DIOXIDE
0024a9f1-4d66-4591-e063-6394a90a9ede,TITANIUM DIOXIDE,"TITANIUM DIOXIDE, ZINC OXIDE"
0024a9f1-4d6b-4591-e063-6394a90a9ede,TITANIUM DIOXIDE,"TITANIUM DIOXIDE, ZINC OXIDE"
0024fb1c-a471-1269-e063-6394a90abafb,ATROPINE SULFATE,"ATROPINE SULFATE, DIPHENOXYLATE HYDROCHLORIDE"
00257c38-d51f-21a0-e063-6294a90a684e,ALUMINUM SESQUICHLOROHYDRATE,ALUMINUM SESQUICHLOROHYDRATE
00261ccc-8927-ed9b-e063-6294a90a23b6,HYDROXYZINE DIHYDROCHLORIDE,HYDROXYZINE DIHYDROCHLORIDE
002679c3-39e4-75aa-e063-6294a90a0290,ALUMINUM SESQUICHLOROHYDRATE,ALUMINUM SESQUICHLOROHYDRATE
0026d74b-7a6c-66ce-e063-6294a90a0ffa,DICLOFENAC SODIUM,DICLOFENAC SODIUM
0027a6cc-35eb-4b64-e063-6394a90ac29a,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE
0027a6cc-35f2-4b64-e063-6394a90ac29a,AVOBENZONE,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE"
00283894-ddc7-0faa-e063-6394a90ae47c,ZINC OXIDE,ZINC OXIDE
0028be18-5163-ff51-e063-6294a90ae517,MENTHOL,MENTHOL
002997d0-3177-3918-e063-6294a90a4408,CAMPHOR (SYNTHETIC),"CAMPHOR (SYNTHETIC), MENTHOL"
002a4766-0c7f-4ec7-e063-6294a90a78d8,ZINC OXIDE,ZINC OXIDE
002ce4f0-e919-6409-e063-6394a90a99ed,ALUMINUM FLUORIDE,ALUMINUM FLUORIDE
002da62b-aec3-8e2a-e063-6294a90a5efc,OLANZAPINE,OLANZAPINE
002da62b-aec8-8e2a-e063-6294a90a5efc,CAMPHOR (SYNTHETIC),"CAMPHOR (SYNTHETIC), MENTHOL"
002db658-6b03-ea49-e063-6294a90ae3e7,CAMPHOR (SYNTHETIC),"CAMPHOR (SYNTHETIC), MENTHOL"
002db658-6b20-ea49-e063-6294a90ae3e7,CAMPHOR (SYNTHETIC),"CAMPHOR (SYNTHETIC), MENTHOL"
002e56c5-4f1a-ffb2-e063-6294a90a0c43,CAMPHOR (SYNTHETIC),"CAMPHOR (SYNTHETIC), MENTHOL"
002fa4d3-5a43-439c-ba5e-492771d1e12b,DOCUSATE SODIUM,"DOCUSATE SODIUM, SENNOSIDES"
0030108d-9c2e-d304-e063-6394a90a5ce5,ADENOSINE,"ADENOSINE, NIACINAMIDE"
00304cae-efb3-dafb-e063-6294a90a6579,ALUMINUM NITRATE,ALUMINUM NITRATE
0034fbaf-129b-bb29-e063-6394a90a6d0a,ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY,ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY
0035395a-85a4-0223-e063-6394a90abfbc,ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY,ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY
