spl_id,Main ingredient,Ingredients
1a587af6-1cb5-3bd3-e063-6394a90aa02b,(4-(TRIFLUOROMETHOXY)PHENYL)UREA,"(4-(TRIFLUOROMETHOXY)PHENYL)UREA, PUMICE"
62999abb-070a-4f06-b81a-d098fee3cbc8,.ALPHA.-KETOGLUTARIC ACID,".ALPHA.-KETOGLUTARIC ACID, ADENOSINE TRIPHOSPHATE DISODIUM, CALCIUM FLUORIDE, COLCHICUM AUTUMNALE BULB, CONIUM MACULATUM FLOWERING TOP, CORTISONE ACETATE, ESCHERICHIA COLI, FUCUS VESICULOSUS, FUMARIC ACID, GALIUM APARINE WHOLE, IODINE, LACTIC ACID, L-, LIOTHYRONINE, MALIC ACID, MERCURIC CHLORIDE, PHENYL ISOTHIOCYANATE, PORK LIVER, PRASTERONE, PULSATILLA PRATENSIS WHOLE, SALMONELLA ENTERICA SUBSP. ENTERICA SEROVAR ENTERITIDIS, SODIUM DIETHYL OXALACETATE, SPONGIA OFFICINALIS SKELETON, ROASTED, SUS SCROFA BONE MARROW, SUS SCROFA PINEAL GLAND, SUS SCROFA SPLEEN, SUS SCROFA THYMUS, SUS SCROFA UMBILICAL CORD, THYROID, PORCINE, TYRAMINE, VISCUM ALBUM FRUITING TOP"
07131644-0196-8510-e063-6294a90acd0f,.ALPHA.-TOCOPHEROL,".ALPHA.-TOCOPHEROL, ASCORBIC ACID, CALCIUM CARBONATE, CHOLECALCIFEROL, CHROMIUM, CYANOCOBALAMIN, FERROUS FUMARATE, FOLIC ACID, MAGNESIUM OXIDE, MANGANESE SULFATE, MOLYBDENUM, NIACINAMIDE, PYRIDOXINE, RIBOFLAVIN, SELENIUM, THIAMINE MONONITRATE, VITAMIN A, ZINC OXIDE"
0978ff22-c358-e266-e063-6394a90a98a4,.ALPHA.-TOCOPHEROL ACETATE,".ALPHA.-TOCOPHEROL ACETATE, CAMPHOR (SYNTHETIC), LEVOMENTHOL, METHYL SALICYLATE"
0ca12bbf-0b01-3432-e063-6294a90a8c45,".ALPHA.-TOCOPHEROL ACETATE, D-",".ALPHA.-TOCOPHEROL ACETATE, D-, ASCORBIC ACID, BIOTIN, CALCIUM CITRATE, CALCIUM PANTOTHENATE, CHOLECALCIFEROL, CHOLINE BITARTRATE, INULIN, LEVOMEFOLATE CALCIUM, MAGNESIUM CITRATE, METHYLCOBALAMIN, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE, RIBOFLAVIN, THIAMINE MONONITRATE, VITAMIN A ACETATE, ZINC PICOLINATE"
0b67e8de-d81d-0fda-e063-6394a90ac229,".ALPHA.-TOCOPHEROL ACETATE, DL-",".ALPHA.-TOCOPHEROL ACETATE, DL-, ASCORBIC ACID, CHOLECALCIFEROL, LEVOMEFOLATE CALCIUM, METHYLCOBALAMIN, NIACIN, PYRIDOXINE HYDROCHLORIDE, RIBOFLAVIN, SODIUM ASCORBATE, THIAMINE MONONITRATE, VITAMIN A"
678d4ca4-b412-4904-8bb1-c58d54d2719b,".ALPHA.-TOCOPHEROL SUCCINATE, D-",".ALPHA.-TOCOPHEROL SUCCINATE, D-, ASCORBIC ACID, BIOTIN, CALCIUM PANTOTHENATE, COBALAMIN, FOLIC ACID, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE, RIBOFLAVIN, SELENOCYSTEINE, THIAMINE MONONITRATE, ZINC CITRATE"
08260838-3bef-4576-a915-8a767dccfa85,.GAMMA.-AMINOBUTYRIC ACID,".GAMMA.-AMINOBUTYRIC ACID, ACETYLCHOLINE CHLORIDE, EPINEPHRINE, GOLDENSEAL, HISTAMINE DIHYDROCHLORIDE, NOREPINEPHRINE BITARTRATE, TARAXACUM OFFICINALE, TYRAMINE"
1505d64b-31df-6be3-e063-6394a90a5666,"1,2-BUTANEDIOL","1,2-BUTANEDIOL"
eba049f5-934c-4e75-9ccf-614c251cb83c,"1,2-NAPHTHOQUINONE","1,2-NAPHTHOQUINONE, ACONITIC ACID, (Z)-, ANHYDROUS CITRIC ACID, COPPER, FUMARIC ACID, GERMANIUM SESQUIOXIDE, GINKGO, GOLD, MALIC ACID, MERCURY, OXOGLURIC ACID, PHOSPHORUS, PORK KIDNEY, PYRUVIC ACID, SILVER, SODIUM DIETHYL OXALACETATE, STRYCHNOS NUX-VOMICA SEED, SUCCINIC ACID, SUS SCROFA LYMPH, SUS SCROFA URINARY BLADDER"
